Datum,Jaar,Maand,Dag,Staatshoofd,WindrVec,WindrCat9,WindrCat5,Windsnelh,WindsnelhGem,WindsnelhMax,WindsnelhMaxUur,WindsnelhMin,WindsnelhMinUur,Windstoot,WindstootUur,TempGem,TempMin,TempMinUur,TempMax,TempMaxUur,Zonneschijn,ZonneschijnPerc,Straling,NeerslagDuur,RegenHoeveelh,RegenHoeveelhMax,LuchtdrukGem,LuchtdrukMax,LuchtdrukMin,ZichtMin,ZichtMinCat85,ZichtMinCat5,ZichtMinUur,ZichtMax,ZichtMaxCat85,ZichtMaxCat5,ZichtMaxUur,BewolkingGem,VochtighGem,VochtighMax,VochtighMaxUur,VochtighMin,VochtighMinUur,Verdamping
30-4-1934,1934,4,30,Wilhelmina,29,NO,N,7.2,7.2,8.2,4,5.7,23,,,11.4,9.6,,15.1,,4.7,32,,0,0,0,1016.8,1018.4,1015.2,,,,,,,,,,86,,,,,
31-8-1934,1934,8,31,Wilhelmina,175,Z,Z,1.5,2.1,3.6,1,1,13,,,10.1,4.5,,16,,1.1,8,,0.3,1.1,0.4,1009.2,1009.9,1008.8,,,,,,,,,,97,,,,,
27-4-1935,1935,4,27,Wilhelmina,351,N,N,6.2,6.7,8.2,11,4.6,6,,,9.4,7.1,,12.8,,7.2,49,,0,0,0,1017.8,1020.4,1015.1,,,,,,,,,,79,,,,,
30-4-1935,1935,4,30,Wilhelmina,332,NW,N,4.1,5.1,7.2,18,3.1,22,,,7.9,3.8,,11.7,,4.3,29,,0,0,0,1020.1,1022.2,1019.1,,,,,,,,,,70,,,,,
31-8-1935,1935,8,31,Wilhelmina,204,ZW,Z,8.2,8.2,9.8,1,4.1,24,,,16.9,12.3,,19.5,,0.1,1,,2.9,5.6,1.5,1011.4,1014.6,1008,,,,,,,,,,91,,,,,
27-4-1936,1936,4,27,Wilhelmina,334,NW,N,3.1,3.6,7.2,16,2.1,4,,,8.9,5.2,,13.5,,0.1,1,,0,0,0,1021.3,1025.4,1017.6,,,,,,,,,,93,,,,,
30-4-1936,1936,4,30,Wilhelmina,353,N,N,4.1,4.6,5.1,4,3.1,2,,,8.6,6,,12.6,,4.8,32,,0,0,0,1024.7,1025.9,1024.2,,,,,,,,,,84,,,,,
31-8-1936,1936,8,31,Wilhelmina,301,NW,W,4.6,4.6,7.2,9,2.6,23,,,16.5,14.2,,20.4,,3.3,24,,0,0,0,1018.2,1019.6,1015.9,,,,,,,,,,75,,,,,
27-4-1937,1937,4,27,Wilhelmina,343,N,N,5.7,5.7,8.2,4,2.6,22,,,7.8,3.7,,11,,0.05,0,,3,1.9,0.9,1015.5,1019.2,1012,,,,,,,,,,83,,,,,
30-4-1937,1937,4,30,Wilhelmina,20,N,N,4.6,4.6,6.7,16,2.1,22,,,8.4,6.3,,11.8,,5.6,38,,0,0,0,1029.2,1030.4,1027.8,,,,,,,,,,82,,,,,
